# HR Parsing Summary Log
# Generated: 2025-08-27 11:53:38
# Timestamp: 20250827_115338
# Format: FILENAME | TITLE | VERSES | CHORDS
--------------------------------------------------------------------------------
📊 Processing Summary:
   ✅ Processed: 224 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\hr\04_chordpro
--------------------------------------------------------------------------------
HR - 163 - USRED JEDNOG VELIKOG MNOŠTVA.chordpro | USRED JEDNOG VELIKOG MNOŠTVA | 5 verses | E, F, G, a
HR - 164 - ZAKEJ (Lk. 19, 1 - 10).chordpro | ZAKEJ (Lk. 19, 1 - 10) | 9 verses | E, F, G, a, d
HR - 165 - ZDRAVO MARIJO, GOLUBICE NEOSKVRNJENA.chordpro | ZDRAVO MARIJO, GOLUBICE NEOSKVRNJENA | 6 verses | FIS, G, e, h
HR - 166 - AKO STE USKRSNULI S KRISTOM.chordpro | AKO STE USKRSNULI S KRISTOM | 4 verses | C, H7, a, e
HR - 167 - SJEDNI OSAMLJEN I ŠUTLJIV (Tuž 3, 1 - 33).chordpro | SJEDNI OSAMLJEN I ŠUTLJIV (Tuž 3, 1 - 33) | 2 verses | A, A7, D, FIS, G, e, fis, h
HR - 168 - OVAKO GOVORI AMEN (Otk 3, 14 - 22).chordpro | OVAKO GOVORI AMEN (Otk 3, 14 - 22) | 9 verses | C, D, D7, G, H7, e
HR - 169 - VIDJET ĆE TE KRALJEVI II. PJESMA O SLUZI (Iz 49, 1 - 16).chordpro | VIDJET ĆE TE KRALJEVI: II. PJESMA O SLUZI (Iz 49, 1 - 16) | 9 verses | A7, D, FIS, G, e, fis, h
HR - 170 - JAKOV (Post 32, 23 - 29).chordpro | JAKOV (Post 32, 23 - 29) | 8 verses | C, D, E, E7, F, G, a
HR - 171 - DEBORA (Suci 5).chordpro | DEBORA (Suci 5) | 10 verses | D7, E, F, a, e
HR - 172 - VIDIM NEBESA OTVORENA (Otk 19, 11 - 20).chordpro | VIDIM NEBESA OTVORENA (Otk 19, 11 - 20) | 7 verses | C, E, F, G, a
HR - 173 - SIJAČ (Mk 4, 3 - 9).chordpro | SIJAČ (Mk 4, 3 - 9) | 19 verses | A, D, G, H7, a, e
HR - 174 - DUH GOSPODNJI NA MENI JE (Lk 4, 18 - 19; Iz 61, 1 - 3).chordpro | DUH GOSPODNJI NA MENI JE (Lk 4, 18 - 19; Iz 61, 1 - 3) | 6 verses | E, F, G, a
HR - 175 - EVO OGLEDALO NAŠE JE GOSPODIN (XIII. Salomonova oda ).chordpro | EVO OGLEDALO NAŠE JE GOSPODIN (XIII. Salomonova oda ) | 6 verses | A7, a, d, g
HR - 176 - KAO POLET SRDŽBE (VII. Salomonova oda ).chordpro | KAO POLET SRDŽBE (VII. Salomonova oda ) | 8 verses | A7, C, E, F, G, a, d
HR - 177 - BLAGOSLOVLJEN BUDI BOG (Ef 1,3-13).chordpro | BLAGOSLOVLJEN BUDI BOG (Ef 1,3-13) | 6 verses | A, A7, D, FIS, G, e, h
HR - 178 - GOSPODINE, TI ME PRONIČEŠ I TI ME POZNAJEŠ - Ps 138 (139).chordpro | GOSPODINE, TI ME PRONIČEŠ I TI ME POZNAJEŠ - Ps 138 (139) | 9 verses | A, B, C7, F, a, d, g
HR - 179 - ELI, ELI, LAMMA SABACTANI - Ps 21 (22).chordpro | ELI, ELI, LAMMA SABACTANI? - Ps 21 (22) | 7 verses | H7, a, e
HR - 180 - NITKO NE MOŽE SLUŽITI DVOJICI GOSPODARA (Mt 6, 24 - 33).chordpro | NITKO NE MOŽE SLUŽITI DVOJICI GOSPODARA (Mt 6, 24 - 33) * | 8 verses | C, E, E7, F, F7, G, a, d, e
HR - 181 - GOSPODINE MOJE SRCE VIŠE NEMA ZAHTJEVA - Ps 130 (131).chordpro | GOSPODINE MOJE SRCE VIŠE NEMA ZAHTJEVA - Ps 130 (131) | 6 verses | H7, a, e
HR - 182 - ŽELIM POĆI U JERUZALEM (Sefarditska pjesma).chordpro | ŽELIM POĆI U JERUZALEM (Sefarditska pjesma) | 4 verses | E, F, a, d, dE
HR - 183 - SHEMA ISRAEL (Pnz 6, 4 - 9).chordpro | SHEMA ISRAEL (Pnz 6, 4 - 9) * | 7 verses | E, F, G, a, d
HR - 184 - HIMAN SLAVNOMU KRIŽU.chordpro | HIMAN SLAVNOMU KRIŽU | 5 verses | A, E, GIS, H7, cis, fis
HR - 185 - OBUCITE SE U BOJNU OPREMU BOŽJU (Ef 6, 11 - 17).chordpro | OBUCITE SE U BOJNU OPREMU BOŽJU (Ef 6, 11 - 17) | 8 verses | A, B, d, g
HR - 186 - TEMELJI SU NJEGOVI - Ps 86 (87).chordpro | TEMELJI SU NJEGOVI - Ps 86 (87) | 4 verses | E, F, G, H7, a, d
HR - 187 - AKEDA ().chordpro | AKEDA (*) | 6 verses | E, a, d
HR - 188 - NEMOJ SE ŽESTITI - Ps 36 (37).chordpro | NEMOJ SE ŽESTITI - Ps 36 (37) | 8 verses | E7, F, a, d
HR - 189 - HIMAN LJUBAVI (1 Kor 13, 1 - 13) ().chordpro | HIMAN LJUBAVI (1 Kor 13, 1 - 13) (*) | 2 verses | C, F, G, a
HR - 190 - SAMI BOG (2 Kor 4, 6 - 12).chordpro | SAMI BOG (2 Kor 4, 6 - 12) | 10 verses | A, D, FIS, G, h
HR - 191 - KAO OSUĐENI NA SMRT (1 Kor 4, 9 - 13).chordpro | KAO OSUĐENI NA SMRT (1 Kor 4, 9 - 13) | 10 verses | E, F, G, a
HR - 192 - ISUS JE OBILAZIO SVE GRADOVE (Mt 9, 35 ss; 10).chordpro | ISUS JE OBILAZIO SVE GRADOVE (Mt 9, 35 ss; 10) | 18 verses | C, E, E7, F, G, a, d, e
HR - 193 - NE OPIRITE SE ZLU (Mt 5, 38 ss).chordpro | NE OPIRITE SE ZLU (Mt 5, 38 ss) | 8 verses | A, A7, D, G, h
HR - 194 - POLJUBI ME (Pj 1, 2 ss).chordpro | POLJUBI ME (Pj 1, 2 ss) | 4 verses | A, A7, B, d
HR - 195 - MOJA DRAGA ZA ME JE (Pj 1, 13 ss).chordpro | MOJA DRAGA ZA ME JE (Pj 1, 13 ss) | 10 verses | A, FIS, G, e, h
HR - 196 - DOĐI S LIBANA (Pj 4, 8 ss).chordpro | DOĐI S LIBANA (Pj 4, 8 ss) | 8 verses | A, C, D, G, a, e
HR - 197 - DOK SAM SPAVALA (Pj 5, 2 ss).chordpro | DOK SAM SPAVALA (Pj 5, 2 ss) | 5 verses | C, E, E7, F, G, a, d
HR - 198 - TI KOJA PREBIVAŠ U VRTOVIMA (Pj 8, Dodaci).chordpro | TI KOJA PREBIVAŠ U VRTOVIMA (Pj 8, Dodaci) | 5 verses | A, E, F, a, d, fis
HR - 199 - JAGNJICA BOŽJA.chordpro | JAGNJICA BOŽJA | 10 verses | C, H7, a, e
HR - 200 - TKO JE TA (Pj 8, 5 - 7).chordpro | TKO JE TA (Pj 8, 5 - 7) | 5 verses | E, F, G, a
HR - 201 - GLAS MOG LJUBLJENOG (Pj 2, 8 - 17).chordpro | GLAS MOG LJUBLJENOG (Pj 2, 8 - 17) | 8 verses | C, E, F, G, a, d
HR - 202 - GOLUBICA DOLETJE (XXIV. Salomonova oda).chordpro | GOLUBICA DOLETJE (XXIV. Salomonova oda) | 5 verses | C, H7, a, e
HR - 203 - KAO ŠTO KAPLJE MED (XL. Salomonova oda).chordpro | KAO ŠTO KAPLJE MED (XL. Salomonova oda) | 9 verses | E, F, a, d
HR - 204 - O ISUSE, LJUBAVI MOJA.chordpro | O ISUSE, LJUBAVI MOJA | 19 verses | E, F, G, a
HR - 205 - VODI ME U NEBO.chordpro | VODI ME U NEBO | 6 verses | A, E, GIS, H7, cis
HR - 206 - TI SI MOJA NADA, GOSPODINE (XXIX. Salomonova oda).chordpro | TI SI MOJA NADA, GOSPODINE (XXIX. Salomonova oda) | 4 verses | A, A7, B7, d, g
HR - 207 - VELIČANSTVEN ZNAK (Otk 12).chordpro | VELIČANSTVEN ZNAK (Otk 12) | 7 verses | E, F, G, a
HR - 208 - CARMEN '63 (od Tagore).chordpro | CARMEN '63 (od Tagore) | 5 verses | A, D, E, F, FIS, G, H, a, d, e, h
HR - 209 - CARITAS CHRISTI (2 Kor 5, 14 - 17. 21; 1 Kor 9, 16b) ().chordpro | CARITAS CHRISTI * (2 Kor 5, 14 - 17. 21; 1 Kor 9, 16b) (*) | 7 verses | A7, C, E, F, G, a, d
HR - 210 - NOLI ME TANGERE (Iv 20, 15 - 17).chordpro | NOLI ME TANGERE (Iv 20, 15 - 17) | 13 verses | B, C, F, G, GIS, c, f
HR - 211 - GOSPODINE, POMOZI MI, GOSPODINE.chordpro | GOSPODINE, POMOZI MI, GOSPODINE | 13 verses | A, A7, D, FIS, G, e, h
HR - 212 - ZAVEO SI ME, GOSPODINE (Jr 20, 7 - 18).chordpro | ZAVEO SI ME, GOSPODINE (Jr 20, 7 - 18) * | 6 verses | C, E, F, G, a
HR - 213 - SRED JEDNE NOĆI TAMNE (Sv. Ivan od Križa).chordpro | SRED JEDNE NOĆI TAMNE (Sv. Ivan od Križa) | 3 verses | E, F, a, d
HR - 214 - LJUBITE SVOJE NEPRIJATELJE (Blaženstva Lk 6, 20 ss) ().chordpro | LJUBITE SVOJE NEPRIJATELJE (Blaženstva: Lk 6, 20 ss) (*) | 1 verses | A, CIS, D, E, FIS, G, H, HFIS, h
HR - 215 - LIJEPA SI, PRIJATELJICE MOJA (Pj 6 - 7).chordpro | LIJEPA SI, PRIJATELJICE MOJA (Pj 6 - 7) | 5 verses | A, A7, B, D7, d, g
HR - 216 - BRAĆO, NE DAJMO NIKOME RAZLOG SPOTICANJA (Usp. 2 Kor 6, 3 - 16).chordpro | BRAĆO, NE DAJMO NIKOME RAZLOG SPOTICANJA (Usp. 2 Kor 6, 3 - 16) | 7 verses | A7, E, F, a, d
HR - 217 - OVO JE MOJA ZAPOVIJED (Iv 15, 12. 13. 16. 18; 17, 21).chordpro | OVO JE MOJA ZAPOVIJED (Iv 15, 12. 13. 16. 18; 17, 21) | 4 verses | A7, C, E, F, G, a, d
HR - 218 - UKRALA SI MI SRCE (Pj 4, 9 - 5, 1).chordpro | UKRALA SI MI SRCE (Pj 4, 9 -  5, 1) | 5 verses | A7, B, C, F, d, g
HR - 219 - GOSPODIN MI JE DAO III. PJESMA O SLUZI (Iz 50, 4 - 10).chordpro | GOSPODIN MI JE DAO: III. PJESMA O SLUZI (Iz 50, 4 - 10) | 10 verses | C, D, FIS, G, fis, h
HR - 220 - MULJAČ (Iz 63, 1 - 6).chordpro | MULJAČ (Iz 63, 1 - 6) | 5 verses | D, H7, a, e
HR - 221 - NE BIJAŠE NA NJEM LJEPOTE IV PJESMA O SLUZI JAHVINU (Iz 53, 2 ss).chordpro | NE BIJAŠE NA NJEM LJEPOTE: IV PJESMA O SLUZI JAHVINU (Iz 53, 2 ss) | 6 verses | C, F, G, G7, a
HR - 222 - PJESMA JANJETOVA (Otk 5,9 ss).chordpro | PJESMA JANJETOVA (Otk 5,9 ss) | 4 verses | A7, F, a, d, g
HR - 223 - RAŠIRIO SAM SVOJE RUKE.chordpro | RAŠIRIO SAM SVOJE RUKE | 5 verses | A, D, E, FIS, G, h
HR - 224 - PASHALNA HOMILIJA MELITONA SARDIJSKOG.chordpro | PASHALNA HOMILIJA MELITONA SARDIJSKOG | 8 verses | A7, B, d
