# HR Parsing Summary Log
# Generated: 2025-08-27 11:42:57
# Timestamp: 20250827_114257
# Format: FILENAME | TITLE | VERSES | CHORDS
--------------------------------------------------------------------------------
HR - 001 - POKORNIČKE LITANIJE KRATKE.chordpro | POKORNIČKE LITANIJE KRATKE | 20 verses | C, H7, a, e
HR - 002 - POKORNIČKE LITANIJE.chordpro | POKORNIČKE LITANIJE | 3 verses | C, H7, a, e
HR - 003 - BLAGOSLOV ZA POKORNIČKO SLAVLJE.chordpro | BLAGOSLOV ZA POKORNIČKO SLAVLJE | 9 verses | E, E7, F, G, a, d
HR - 004 - SLAVA BOGU NA VISINI.chordpro | SLAVA BOGU NA VISINI | 9 verses | A, D, G, e, fis
HR - 005 - SVET JE SVET (Korizmeno vrijeme).chordpro | SVET JE SVET (Korizmeno vrijeme) | 11 verses | G, a, e
HR - 006 - SVET (Kroz godinu).chordpro | SVET (Kroz godinu) | 5 verses | E, F, G, a
HR - 007 - SVET JE GOSPODIN - SVET BARAKA (U vrijeme Došašća).chordpro | SVET JE GOSPODIN - SVET BARAKA  (U vrijeme Došašća) | 6 verses | A, E, E7, F, a
HR - 008 - SVET SVET SVET - HOSANA CVJETNICE (i u pashalno vrijeme).chordpro | SVET SVET SVET - HOSANA CVJETNICE (i u pashalno vrijeme) | 5 verses | A, A7, d, g
HR - 009 - SVET, SVET, SVET (1988.).chordpro | SVET, SVET, SVET (1988.) | 11 verses | E7, F, G, a
HR - 010 - SVET (1983.).chordpro | SVET (1983.) | 5 verses | E, F, G, a, d
HR - 011 - DRUGA EUHARISTIJSKA MOLITVA.chordpro | DRUGA EUHARISTIJSKA MOLITVA | 15 verses | A, A7, C, E, E7, F, G, a, d, fis, g
HR - 012 - BLAGOSLOV VODE KRSNOG STUDENCA.chordpro | BLAGOSLOV VODE KRSNOG STUDENCA | 8 verses | C, D, H7, a, e
HR - 013 - PASHALNI HVALOSPJEV.chordpro | PASHALNI HVALOSPJEV | 16 verses | C, E, F, G, a
HR - 014 - PASHALNO PREDSLOVLJE.chordpro | PASHALNO PREDSLOVLJE | 9 verses | E, E7, F, G, a, d
HR - 015 - HIMAN POHVALA DOŠAŠĆA DO 16. PROSINCA.chordpro | HIMAN POHVALA DOŠAŠĆA DO 16. PROSINCA | 5 verses | G, a
HR - 016 - HIMAN POHVALA DOŠAŠĆA POSLIJE 16. PROSINCA.chordpro | HIMAN POHVALA DOŠAŠĆA POSLIJE 16. PROSINCA | 6 verses | G, a
HR - 017 - HIMAN POHVALA OD USKRSA DO UZAŠAŠĆA.chordpro | HIMAN POHVALA OD USKRSA DO UZAŠAŠĆA | 10 verses | A, FIS, G, h
HR - 018 - HIMAN VEČERNJE DO UZAŠAŠĆA GOSPODINOVA.chordpro | HIMAN VEČERNJE DO UZAŠAŠĆA GOSPODINOVA | 11 verses | E, F, G, a
HR - 019 - HIMAN VEČERNJE BLAGDANA UZAŠAŠĆA.chordpro | HIMAN VEČERNJE BLAGDANA UZAŠAŠĆA | 12 verses | C, D, H7, e
HR - 020 - DUHOVSKI HIMAN O DOĐI, STVORČE, DUŠE SVET.chordpro | DUHOVSKI HIMAN: O DOĐI, STVORČE, DUŠE SVET | 13 verses | G, a
HR - 021 - HIMAN POHVALA DUHOVA.chordpro | HIMAN POHVALA DUHOVA | 13 verses | G, a
HR - 022 - DUHOVSKA POSLJEDNICA (DOĐI, DUŠE SVETI).chordpro | DUHOVSKA POSLJEDNICA (DOĐI, DUŠE SVETI) | 13 verses | C, E, F
HR - 023 - DRUGA EUHARISTIJSKA MOLITVA (2) Predslovlje.chordpro | DRUGA EUHARISTIJSKA MOLITVA (2): Predslovlje | 15 verses | A, A7, F, G, a, d, e, g, h
HR - 024 - PASHALNO ALELUJA.chordpro | PASHALNO ALELUJA | 6 verses | A, D
HR - 025 - ALELUJA PRIJE EVANĐELJA.chordpro | ALELUJA PRIJE EVANĐELJA | 6 verses | A, A7, D, G, a, e, h
HR - 026 - PRIPJEV ZA EVANĐELJE U KORIZMENO VRIJEME.chordpro | PRIPJEV ZA EVANĐELJE U KORIZMENO VRIJEME | 6 verses | A, D, G
HR - 027 - TE DEUM.chordpro | TE DEUM | 3 verses | C, E, E7, G, a
HR - 028 - JAGANJČE BOŽJI.chordpro | JAGANJČE BOŽJI | 1 verses | E, F, G, a
HR - 029 - OČE NAŠ (Mt. 6, 9-13) ().chordpro | OČE NAŠ (Mt. 6, 9-13) (*) | 0 verses | none
HR - 030 - APOSTOLSKO VJEROVANJE ().chordpro | APOSTOLSKO VJEROVANJE (*) | 0 verses | none
HR - 031 - BLAGOSLOV ZARUČNIKA.chordpro | BLAGOSLOV ZARUČNIKA | 1 verses | H7, e
HR - 032 - LITANIJE SVIH SVETIH.chordpro | LITANIJE SVIH SVETIH | 3 verses | C, Ce, D, G, e
HR - 033 - USKRSNUO JE (usp. 1 Kor 15).chordpro | USKRSNUO JE (usp. 1 Kor 15) | 9 verses | E, F, G, a
HR - 034 - PREMA TEBI, GRADE SVETI.chordpro | PREMA TEBI, GRADE SVETI * | 3 verses | E, E7, F, G, a
HR - 035 - TVRD JE HOD.chordpro | TVRD JE HOD * | 4 verses | A7, E, E7, F, a, d
HR - 036 - IZ DUBINE VAPIJEM TEBI, GOSPODINE - Ps 129 (130).chordpro | IZ DUBINE VAPIJEM TEBI, GOSPODINE - Ps 129 (130) | 11 verses | E7, E7a, F, G, a, d
HR - 037 - JOŠUINA PJESMA (Jš 24,2-13).chordpro | JOŠUINA PJESMA (Jš 24,2-13) | 7 verses | A, C, CIS, D, E, H7, e, fis, gis
HR - 038 - BLAGOSLIVLJAJ, DUŠO MOJA, JAHVU - Ps 102 (103).chordpro | BLAGOSLIVLJAJ, DUŠO MOJA, JAHVU - Ps 102 (103) | 3 verses | E, a, d
HR - 039 - DOKLE ĆEŠ ME - Ps 12 (13).chordpro | DOKLE ĆEŠ ME - Ps 12 (13) | 8 verses | E, E7, a
HR - 040 - JAHVE, TI SI MOJ BOG (Iz 25, 1 - 8).chordpro | JAHVE, TI SI MOJ BOG (Iz 25, 1 - 8) | 7 verses | E7, F, G, a
HR - 041 - PJEVAJMO, PJEVAJMO (Izl 15,1-2).chordpro | PJEVAJMO, PJEVAJMO (Izl 15,1-2) | 3 verses | A, D, E, E7, H7
HR - 042 - NEK DOPRE DO TEBE MOJA MOLITVA - Ps 118 (119).chordpro | NEK DOPRE DO TEBE MOJA MOLITVA - Ps 118 (119) | 2 verses | E, F, G, a
HR - 043 - GLEDAJTE KAKO JE DOBRO - Ps 132 (133).chordpro | GLEDAJTE KAKO JE DOBRO - Ps 132 (133) | 1 verses | C, D, DG, G, H7, a, e, h
HR - 044 - KAKO JE LIJEPO, KAKO RADUJE - Ps 132 (133).chordpro | KAKO JE LIJEPO, KAKO RADUJE - Ps 132 (133) | 9 verses | E, F, G, a, d
HR - 045 - GLE, KAKO JE DOBRA - Ps 132 (133).chordpro | GLE, KAKO JE DOBRA - Ps 132 (133) | 9 verses | C, H7, a, e
HR - 046 - HVALITE JAHVU - Ps 135 (136).chordpro | HVALITE JAHVU - Ps 135 (136) | 29 verses | C, D, G, H7, a, e, h
HR - 047 - PJESMA TROJICE MLADIĆA (Dn 3,52 - 57).chordpro | PJESMA TROJICE MLADIĆA (Dn 3,52 - 57) | 16 verses | A, C, D, E, G, H, H7, e, fis
HR - 048 - PJESMA TROJICE MLADIĆA (Dn 3, 57 - 88).chordpro | PJESMA TROJICE MLADIĆA (Dn 3, 57 - 88) | 17 verses | E7, a
HR - 049 - HVALITE GOSPODINA S NEBESA - Ps 148 ().chordpro | HVALITE GOSPODINA S NEBESA - Ps 148 (*) | 5 verses | A, fis
HR - 050 - HVALITE BOGA, ALELUJA - Ps 150.chordpro | HVALITE BOGA, ALELUJA - Ps 150 | 7 verses | A, D, E
HR - 051 - GOSPODIN MI JE SVJETLOST I SPASENJE - Ps 26 (27).chordpro | GOSPODIN MI JE SVJETLOST I SPASENJE - Ps 26 (27) | 6 verses | A7, B, C, G, d, g
HR - 052 - HEVENU SHALOM ALEHEM (Hebrejska pjesma).chordpro | HEVENU SHALOM ALEHEM (Hebrejska pjesma) | 8 verses | A, A7, d, g
HR - 053 - ABBA, OČE (Rim 8,15 - 17).chordpro | ABBA, OČE (Rim 8,15 - 17) | 3 verses | C, E, E7, F, G, G7, a, d
HR - 054 - VEĆ DOLAZI KRALJEVSTVO (Otk 19, 6 - 9).chordpro | VEĆ DOLAZI KRALJEVSTVO (Otk 19, 6 - 9) * | 9 verses | G, H7, e
HR - 055 - TKO ĆE NAS RASTAVITI (Rim 8, 33 - 39).chordpro | TKO ĆE NAS RASTAVITI (Rim 8, 33 - 39) | 8 verses | E, E7, F, G, a
HR - 056 - MAGNIFICAT (Lk 1, 46 - 55).chordpro | MAGNIFICAT (Lk 1, 46 - 55) | 9 verses | A, A7, D, E
HR - 057 - DIĆI ĆU ČAŠU SPASENJA - Ps 114 - 115 (116).chordpro | DIĆI ĆU ČAŠU SPASENJA - Ps 114 - 115 (116) | 6 verses | A, D, D7, E7, G, e, fis, h
HR - 058 - KADA GOSPODIN - Ps 125 (126).chordpro | KADA GOSPODIN - Ps 125 (126) | 5 verses | A, D, G, e
HR - 059 - ZAHARIJIN HVALOSPJEV (Lk 1, 68 - 79).chordpro | ZAHARIJIN HVALOSPJEV (Lk 1, 68 - 79) | 7 verses | H7, a, e
HR - 060 - O SMRTI, GDJE JE TVOJA POBJEDA (1 Kor 15).chordpro | O SMRTI, GDJE JE TVOJA POBJEDA? (1 Kor 15) | 10 verses | A, C, D, D7, FIS, G, a, d, h
HR - 061 - NEBESA, KIŠITE ODOZGO (Iz 45,8).chordpro | NEBESA, KIŠITE ODOZGO (Iz 45,8) | 17 verses | E, E7, F, G, a
HR - 062 - DUHOVI.chordpro | DUHOVI | 6 verses | A, A7, B, C, F, G, d
HR - 063 - EVO ME, JA BRZO DOLAZIM (Otk 22, 12 - 16).chordpro | EVO ME, JA BRZO DOLAZIM (Otk 22, 12 - 16) | 4 verses | A, E, E7, H7, cis, fis
HR - 064 - DOĐI, SINE ČOVJEČJI (Otk 22, 17).chordpro | DOĐI, SINE ČOVJEČJI (Otk 22, 17) | 3 verses | C, H7, a, e
HR - 065 - ABRAHAM (Post 18,1-6).chordpro | ABRAHAM (Post 18,1-6) | 4 verses | E, F, G, a, d
HR - 066 - MOJSIJEV HVALOSPJEV (Izl 15, 1 - 18).chordpro | MOJSIJEV HVALOSPJEV (Izl 15, 1 - 18) | 16 verses | A7, C7, D7, F, G7
HR - 067 - HVALITE GOSPODINA, SVI NARODI ZEMLJE - Ps 116 (117).chordpro | HVALITE GOSPODINA, SVI NARODI ZEMLJE - Ps 116 (117) | 5 verses | C, G, H7, a
HR - 068 - KADA IZRAEL IZAÐE IZ EGIPTA - Ps 113 A (114).chordpro | KADA IZRAEL IZAÐE IZ EGIPTA - Ps 113 A (114) | 8 verses | A, D, E, F, FIS, G, GIS, H, a, cis, e, fis, h
HR - 069 - PODIGNITE VRATA - Ps 23 (24).chordpro | PODIGNITE VRATA - Ps 23 (24) | 26 verses | A, E, G, H, a, e, h
HR - 070 - GOSPODIN JE PASTIR MOJ - Ps 22 (23).chordpro | GOSPODIN JE PASTIR MOJ - Ps 22 (23) | 10 verses | E, E7, F, G, a
HR - 071 - NA RIJEKAMA BABILONIJE - Ps 136 (137).chordpro | NA RIJEKAMA BABILONIJE - Ps 136 (137) | 5 verses | D, H7, a, e
HR - 072 - SMILUJ MI SE, BOŽE - Ps 50 (51).chordpro | SMILUJ MI SE, BOŽE - Ps 50 (51) | 42 verses | a, e
HR - 073 - MILOSRĐE, BOŽE - Ps 50 (51).chordpro | MILOSRĐE, BOŽE - Ps 50 (51) | 12 verses | D, a, e
HR - 074 - ISUS KRIST JE GOSPODIN! (Fil 2, 1 - 11).chordpro | ISUS KRIST JE GOSPODIN!  (Fil 2, 1 - 11) | 12 verses | C, D, G, H7, a, e
